"Story","Title","Result","Date","Stability","Duration (s)"
"Create product data driven test","Data Driven test for adding multiple products to the application","SUCCESS","2023-01-10T23:00:58.660Z[Europe/London]","0.0","171.48"
"Create store data driven test","Data Driven test for adding multiple products to the application","SUCCESS","2023-01-10T23:01:05.135Z[Europe/London]","0.0","21.05"
"Product CURD test","This will create new product","SUCCESS","2023-01-10T23:01:05.582Z[Europe/London]","0.0","1.53"
"Product CURD test","Verify if the product was added to application","SUCCESS","2023-01-10T23:01:07.110Z[Europe/London]","0.0","0.23"
"Product CURD test","This will update product","SUCCESS","2023-01-10T23:01:07.338Z[Europe/London]","0.0","0.17"
"Product CURD test","This will delete product","SUCCESS","2023-01-10T23:01:07.514Z[Europe/London]","0.0","0.28"
"Store CURD test","This will create new store","SUCCESS","2023-01-10T23:01:07.954Z[Europe/London]","0.0","0.15"
"Store CURD test","Verify if the store has been added to application","SUCCESS","2023-01-10T23:01:08.108Z[Europe/London]","0.0","0.07"
"Store CURD test","This will update store information","SUCCESS","2023-01-10T23:01:08.177Z[Europe/London]","0.0","0.18"
"Store CURD test","This will delete Store","SUCCESS","2023-01-10T23:01:08.353Z[Europe/London]","0.0","0.13"
"Tags test","Provide a status code when incorrect HTTP method is used to across resource","SUCCESS","2023-01-10T23:01:08.704Z[Europe/London]","0.0","0.68"
"Testing different request on product section of Bestbuy","Creating new product","SUCCESS","2023-01-10T23:01:10.126Z[Europe/London]","0.0","0.67"
"Testing different request on product section of Bestbuy","Verify product is created by getting product info by given Id","SUCCESS","2023-01-10T23:01:11.061Z[Europe/London]","0.0","0.06"
"Testing different request on product section of Bestbuy","Updating newly added product detail","SUCCESS","2023-01-10T23:01:11.224Z[Europe/London]","0.0","0.14"
"Testing different request on product section of Bestbuy","Deleting store by given Id","SUCCESS","2023-01-10T23:01:11.519Z[Europe/London]","0.0","0.1"
"Testing different request on product section of Bestbuy","CURD TEST","SUCCESS","2023-01-10T23:01:11.747Z[Europe/London]","0.0","0.81"
"Testing different request on store section of Bestbuy","Creating store data","SUCCESS","2023-01-10T23:01:12.792Z[Europe/London]","0.0","0.11"
"Testing different request on store section of Bestbuy","Verify store is created by getting Store info by given Id","SUCCESS","2023-01-10T23:01:13.077Z[Europe/London]","0.0","0.1"
"Testing different request on store section of Bestbuy","Updating newly added store detail","SUCCESS","2023-01-10T23:01:14.333Z[Europe/London]","0.0","0.07"
"Testing different request on store section of Bestbuy","Deleting store by given Id","SUCCESS","2023-01-10T23:01:14.622Z[Europe/London]","0.0","0.12"
"Testing different request on store section of Bestbuy","CURD TEST","SUCCESS","2023-01-10T23:01:14.886Z[Europe/London]","0.0","0.39"
